Currency,Date,Rate
SAR,2021-04-11,0.266667
SEK,2021-04-11,0.11694280000000001
SGD,2021-04-11,0.7452300000000001
sll,2021-04-11,9.7884e-05
THB,2021-04-11,0.03181327
TZS,2021-04-11,0.00043121800000000003
UGX,2021-04-11,0.00027427
USD,2021-04-11,1.0
XAF,2021-04-11,0.0018128
XOF,2021-04-11,0.0018128
ZAR,2021-04-11,0.06855499999999999
ZMK,2021-04-11,0.045392400000000006
ZMW,2021-04-11,0.045392400000000006
AED,2021-04-12,0.272294
ARS,2021-04-12,0.0108286
AUD,2021-04-12,0.761359
BRL,2021-04-12,0.175973
CAD,2021-04-12,0.7959
CHF,2021-04-12,1.08071
CZK,2021-04-12,0.0455343
DKK,2021-04-12,0.159659
ETB,2021-04-12,0.024043000000000002
EUR,2021-04-12,1.1875
GBP,2021-04-12,1.3731
GHS,2021-04-12,0.17308900000000002
ILS,2021-04-12,0.303627
INR,2021-04-12,0.0133482
JPY,2021-04-12,0.00913686
KES,2021-04-12,0.00932064
MAD,2021-04-12,0.111507
MUR,2021-04-12,0.0247494
MWK,2021-04-12,0.00127322
MXN,2021-04-12,0.0494733
MYR,2021-04-12,0.241738
NGN,2021-04-12,0.002631578947
NOK,2021-04-12,0.11732100000000001
NZD,2021-04-12,0.702994
PEN,2021-04-12,0.275938
PLN,2021-04-12,0.262088
RUB,2021-04-12,0.0128727
RWF,2021-04-12,0.00100712
SAR,2021-04-12,0.266667
SEK,2021-04-12,0.11671300000000001
SGD,2021-04-12,0.74505
sll,2021-04-12,9.77651e-05
THB,2021-04-12,0.031675299999999997
TZS,2021-04-12,0.00043121800000000003
UGX,2021-04-12,0.000274547
USD,2021-04-12,1.0
XAF,2021-04-12,0.00181027
XOF,2021-04-12,0.00181027
ZAR,2021-04-12,0.0682301
ZMK,2021-04-12,0.0451523
ZMW,2021-04-12,0.0451523
AED,2021-04-13,0.272294
ARS,2021-04-13,0.010802200000000001
AUD,2021-04-13,0.760834
BRL,2021-04-13,0.174414
CAD,2021-04-13,0.794752
CHF,2021-04-13,1.08166
CZK,2021-04-13,0.0457319
DKK,2021-04-13,0.16007000000000002
ETB,2021-04-13,0.0242106
EUR,2021-04-13,1.1904
GBP,2021-04-13,1.3749
GHS,2021-04-13,0.173275
ILS,2021-04-13,0.303194
INR,2021-04-13,0.0132782
JPY,2021-04-13,0.00914743
KES,2021-04-13,0.00935353
MAD,2021-04-13,0.11176199999999999
MUR,2021-04-13,0.024774400000000002
MWK,2021-04-13,0.00127252
MXN,2021-04-13,0.049632199999999994
MYR,2021-04-13,0.241856
NGN,2021-04-13,0.002631578947
NOK,2021-04-13,0.117651
NZD,2021-04-13,0.7020000000000001
PEN,2021-04-13,0.276023
PLN,2021-04-13,0.2614
RUB,2021-04-13,0.0129523
RWF,2021-04-13,0.00102209
SAR,2021-04-13,0.266667
SEK,2021-04-13,0.11671600000000001
SGD,2021-04-13,0.745436
sll,2021-04-13,9.78109e-05
THB,2021-04-13,0.0317022
TZS,2021-04-13,0.000431175
UGX,2021-04-13,0.000275866
USD,2021-04-13,1.0
XAF,2021-04-13,0.00181481
XOF,2021-04-13,0.00181481
ZAR,2021-04-13,0.06870710000000001
ZMK,2021-04-13,0.0450773
ZMW,2021-04-13,0.0450773
